Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chris Childs,,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA
Darwin Cook,92.5,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Lionel Hollins,90.1,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Anthony Morrow,88.5,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA
Jeremy Lin,88.2,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
George Senesky,87.9,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Jerry Sichting,87.4,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Isaiah Rider,87.0,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Kevin Grevey,86.2,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1
Jodie Meeks,86.0,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Blue Edwards,85.8,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1
