Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,22,PHO,NBA,SF,78,,22.4,3.6,7.0,.508,1.4,2.3,.631,1.3,3.7,5.0,1.3,0.5,0.6,,2.1,8.5
1977-78,23,Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury)
1978-79,24,TOT,NBA,SF,49,,14.9,1.9,4.0,.470,0.7,1.1,.660,0.9,2.1,3.0,0.8,0.4,0.6,1.1,2.0,4.5
1978-79,24,NOJ,NBA,SF,31,,18.5,2.0,4.6,.438,0.9,1.2,.711,1.1,2.4,3.5,0.8,0.5,0.7,1.2,2.4,4.9
1978-79,24,POR,NBA,SF,18,,8.9,1.7,3.0,.556,0.4,0.8,.533,0.6,1.5,2.1,0.8,0.4,0.3,0.9,1.5,3.8
Career,NA,,NBA,,127,,19.6,2.9,5.9,.498,1.1,1.8,.638,1.1,3.1,4.2,1.1,0.5,0.6,1.1,2.1,7.0
,NA,,,,,,,,,,,,,,,,,,,,,
1 season,NA,PHO,NBA,,78,,22.4,3.6,7.0,.508,1.4,2.3,.631,1.3,3.7,5.0,1.3,0.5,0.6,,2.1,8.5
1 season,NA,NOJ,NBA,,31,,18.5,2.0,4.6,.438,0.9,1.2,.711,1.1,2.4,3.5,0.8,0.5,0.7,1.2,2.4,4.9
1 season,NA,POR,NBA,,18,,8.9,1.7,3.0,.556,0.4,0.8,.533,0.6,1.5,2.1,0.8,0.4,0.3,0.9,1.5,3.8
