Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,22,PHO,NBA,SF,78,NA,1751,277,545,0.508,111,176,0.631,99,288,387,103,41,47,NA,165,665
1978-79,24,TOT,NBA,SF,49,NA,732,93,198,0.47,35,53,0.66,44,102,146,41,22,28,53,100,221
1978-79,24,NOJ,NBA,SF,31,NA,572,63,144,0.438,27,38,0.711,34,75,109,26,15,22,36,73,153
1978-79,24,POR,NBA,SF,18,NA,160,30,54,0.556,8,15,0.533,10,27,37,15,7,6,17,27,68
Career,NA,,NBA,,127,NA,2483,370,743,0.498,146,229,0.638,143,390,533,144,63,75,53,265,886
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,78,NA,1751,277,545,0.508,111,176,0.631,99,288,387,103,41,47,NA,165,665
1 season,NA,NOJ,NBA,,31,NA,572,63,144,0.438,27,38,0.711,34,75,109,26,15,22,36,73,153
1 season,NA,POR,NBA,,18,NA,160,30,54,0.556,8,15,0.533,10,27,37,15,7,6,17,27,68
