Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,22,PHO,NBA,SF,78,NA,1751,7.1,14,0.508,2.9,4.5,0.631,2.5,7.4,9.9,2.6,1.1,1.2,NA,4.2,17.1,NA,NA,97
1978-79,24,TOT,NBA,SF,49,NA,732,5.7,12.1,0.47,2.1,3.2,0.66,2.7,6.2,8.9,2.5,1.3,1.7,3.2,6.1,13.5,NA,94,105
1978-79,24,NOJ,NBA,SF,31,NA,572,4.9,11.1,0.438,2.1,2.9,0.711,2.6,5.8,8.4,2,1.2,1.7,2.8,5.6,11.8,NA,92,106
1978-79,24,POR,NBA,SF,18,NA,160,8.7,15.7,0.556,2.3,4.4,0.533,2.9,7.8,10.7,4.4,2,1.7,4.9,7.8,19.7,NA,99,101
Career,NA,,NBA,,127,NA,2483,6.7,13.4,0.498,2.6,4.1,0.638,2.6,7.1,9.6,2.6,1.1,1.4,1,4.8,16,NA,94,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,78,NA,1751,7.1,14,0.508,2.9,4.5,0.631,2.5,7.4,9.9,2.6,1.1,1.2,NA,4.2,17.1,NA,NA,97
1 season,NA,NOJ,NBA,,31,NA,572,4.9,11.1,0.438,2.1,2.9,0.711,2.6,5.8,8.4,2,1.2,1.7,2.8,5.6,11.8,NA,92,106
1 season,NA,POR,NBA,,18,NA,160,8.7,15.7,0.556,2.3,4.4,0.533,2.9,7.8,10.7,4.4,2,1.7,4.9,7.8,19.7,NA,99,101
