Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1978-79,24,POR,NBA,SF,1,NA,6,0,31.8,0,0,0,NA,0,15.9,15.9,0,0,0,0,0,0,NA,0,101
Career,NA,,NBA,,1,NA,6,0,31.8,0,0,0,NA,0,15.9,15.9,0,0,0,0,0,0,NA,0,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,1,NA,6,0,31.8,0,0,0,NA,0,15.9,15.9,0,0,0,0,0,0,NA,0,101
