,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23,SFW,NBA,,4,,,,,,2,,,,,,,,9
1963-64,24,PHI,NBA,,6,,,,,,4,6,,,,,,,16
1969-70,30,MMF,ABA,,9,,2,,,,6,7,,,,,,,19
1970-71,31,PTC,ABA,,3,,1,,,,3,5,,,,,,,9
Career,,,TOT,,9,,,,,,6,,,,,,,,19
,,,NBA,,6,,,,,,4,,,,,,,,16
,,,ABA,,9,,2,,,,6,7,,,,,,,19
,,,,,,,,,,,,,,,,,,,
1 Season,,MMF,ABA,,9,,2,,,,6,7,,,,,,,19
1 Season,,SFW,NBA,,4,,,,,,2,,,,,,,,9
1 Season,,PHI,NBA,,6,,,,,,4,6,,,,,,,16
1 Season,,PTC,ABA,,3,,1,,,,3,5,,,,,,,9
