Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23,SFW,NBA,SG,29,NA,271,5.3,14.7,0.36,NA,NA,NA,5.3,14.7,0.36,1.6,2.4,0.667,NA,NA,4.6,3.7,NA,6.2,12.2
1963-64,24,PHI,NBA,SG,23,NA,196,5.7,19.3,0.295,NA,NA,NA,5.7,19.3,0.295,3.1,5.1,0.607,NA,NA,7.7,2.2,NA,5.1,14.5
1969-70,30,MMF,ABA,SG,54,NA,824,6.4,15.9,0.402,0.3,1.9,0.163,6.1,14,0.434,2.7,3.7,0.738,3.1,3.7,6.8,2.4,2.6,6.4,15.8
1970-71,31,PTC,ABA,SG,14,NA,166,3.7,13.2,0.279,0.4,1.5,0.286,3.3,11.7,0.278,2.2,2.8,0.769,2.2,4.8,6.9,3,2.2,6.1,10
Career,NA,,TOT,,120,NA,1457,5.8,15.8,0.366,0.3,1.8,0.18,5.6,14.6,0.381,2.5,3.5,0.706,2.9,3.9,6.5,2.7,2.5,6.2,14.3
,NA,,ABA,,68,NA,990,5.9,15.4,0.384,0.3,1.8,0.18,5.6,13.6,0.412,2.6,3.5,0.742,2.9,3.9,6.8,2.5,2.5,6.4,14.8
,NA,,NBA,,52,NA,467,5.5,16.7,0.329,NA,NA,NA,5.5,16.7,0.329,2.2,3.5,0.63,NA,NA,5.9,3.1,NA,5.8,13.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MMF,ABA,,54,NA,824,6.4,15.9,0.402,0.3,1.9,0.163,6.1,14,0.434,2.7,3.7,0.738,3.1,3.7,6.8,2.4,2.6,6.4,15.8
1 season,NA,SFW,NBA,,29,NA,271,5.3,14.7,0.36,NA,NA,NA,5.3,14.7,0.36,1.6,2.4,0.667,NA,NA,4.6,3.7,NA,6.2,12.2
1 season,NA,PHI,NBA,,23,NA,196,5.7,19.3,0.295,NA,NA,NA,5.7,19.3,0.295,3.1,5.1,0.607,NA,NA,7.7,2.2,NA,5.1,14.5
1 season,NA,PTC,ABA,,14,NA,166,3.7,13.2,0.279,0.4,1.5,0.286,3.3,11.7,0.278,2.2,2.8,0.769,2.2,4.8,6.9,3,2.2,6.1,10
