Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23,SFW,NBA,SG,29,NA,271,40,111,0.36,NA,NA,NA,40,111,0.36,0.36,12,18,0.667,NA,NA,35,28,NA,47,92
1963-64,24,PHI,NBA,SG,23,NA,196,31,105,0.295,NA,NA,NA,31,105,0.295,0.295,17,28,0.607,NA,NA,42,12,NA,28,79
1969-70,30,MMF,ABA,SG,54,NA,824,146,363,0.402,7,43,0.163,139,320,0.434,0.412,62,84,0.738,70,85,155,56,59,147,361
1970-71,31,PTC,ABA,SG,14,NA,166,17,61,0.279,2,7,0.286,15,54,0.278,0.295,10,13,0.769,10,22,32,14,10,28,46
Career,NA,,TOT,,120,NA,1457,234,640,0.366,9,50,0.18,225,590,0.381,0.373,101,143,0.706,80,107,264,110,69,250,578
,NA,,ABA,,68,NA,990,163,424,0.384,9,50,0.18,154,374,0.412,0.395,72,97,0.742,80,107,187,70,69,175,407
,NA,,NBA,,52,NA,467,71,216,0.329,NA,NA,NA,71,216,0.329,0.329,29,46,0.63,NA,NA,77,40,NA,75,171
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MMF,ABA,,54,NA,824,146,363,0.402,7,43,0.163,139,320,0.434,0.412,62,84,0.738,70,85,155,56,59,147,361
1 season,NA,SFW,NBA,,29,NA,271,40,111,0.36,NA,NA,NA,40,111,0.36,0.36,12,18,0.667,NA,NA,35,28,NA,47,92
1 season,NA,PHI,NBA,,23,NA,196,31,105,0.295,NA,NA,NA,31,105,0.295,0.295,17,28,0.607,NA,NA,42,12,NA,28,79
1 season,NA,PTC,ABA,,14,NA,166,17,61,0.279,2,7,0.286,15,54,0.278,0.295,10,13,0.769,10,22,32,14,10,28,46
