Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,23,SFW,NBA,SG,29,271,6.3,0.387,NA,0.162,NA,NA,NA,NA,NA,NA,NA,-0.4,0.2,-0.2,-0.038
1963-64,24,PHI,NBA,SG,23,196,6.1,0.337,NA,0.267,NA,NA,NA,NA,NA,NA,NA,-0.7,0.1,-0.6,-0.143
1969-70,30,MMF,ABA,SG,54,824,10.8,0.451,0.118,0.231,NA,NA,8.5,9.5,12.9,20,NA,-0.3,0.6,0.3,0.019
1970-71,31,PTC,ABA,SG,14,166,3.9,0.345,0.115,0.213,NA,NA,8.1,9.8,13,16.2,NA,-0.4,0.1,-0.3,-0.084
Career,NA,,TOT,,120,1457,8.5,0.411,0.078,0.223,NA,NA,8.5,9.6,12.9,19.4,NA,-1.8,1.1,-0.8,-0.025
,NA,,ABA,,68,990,9.6,0.436,0.118,0.229,NA,NA,8.5,9.6,12.9,19.4,NA,-0.7,0.7,0,0.002
,NA,,NBA,,52,467,6.3,0.362,NA,0.213,NA,NA,NA,NA,NA,NA,NA,-1.1,0.3,-0.8,-0.082
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MMF,ABA,,54,824,10.8,0.451,0.118,0.231,NA,NA,8.5,9.5,12.9,20,NA,-0.3,0.6,0.3,0.019
1 season,NA,SFW,NBA,,29,271,6.3,0.387,NA,0.162,NA,NA,NA,NA,NA,NA,NA,-0.4,0.2,-0.2,-0.038
1 season,NA,PHI,NBA,,23,196,6.1,0.337,NA,0.267,NA,NA,NA,NA,NA,NA,NA,-0.7,0.1,-0.6,-0.143
1 season,NA,PTC,ABA,,14,166,3.9,0.345,0.115,0.213,NA,NA,8.1,9.8,13,16.2,NA,-0.4,0.1,-0.3,-0.084
