,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,BAL,NBA,,9,,,,,,4,7,,,,,,,,,19
1968-69,25,BAL,NBA,,7,,,,,,4,5,,,,,,,,,16
1969-70,26,TOT,NBA,,5,,,,,,4,4,,,,,,,,,13
1969-70,26,BAL,NBA,,5,,,,,,2,2,,,,,,,,,10
1969-70,26,CHI,NBA,,5,17,,,,,4,4,,,12,4,,,,6,13
1970-71,27,POR,NBA,,9,16,,,,,5,6,,,14,5,,,,6,19
1971-72,28,CAR,ABA,,12,,0,,,,7,7,,,,,,,,,28
1972-73,29,CAR,ABA,,9,,0,,,,4,6,,,,,,,,,19
1973-74,30,CAR,ABA,,10,,1,,,,5,6,,,,,,,,,21
1974-75,31,NYA,ABA,,6,,0,,,,4,4,,,,,,,,,12
1975-76,32,INA,ABA,,6,,0,,,,4,7,,,,,,,,,14
Career,,,TOT,,12,,,,,,7,7,,,,,,,,,28
,,,NBA,,9,,,,,,5,7,,,,,,,,,19
,,,ABA,,12,,1,,,,7,7,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,CAR,ABA,,12,,1,,,,7,7,,,,,,,,,28
3 Seasons,,BAL,NBA,,9,,,,,,4,7,,,,,,,,,19
1 Season,,POR,NBA,,9,16,,,,,5,6,,,14,5,,,,6,19
1 Season,,NYA,ABA,,6,,0,,,,4,4,,,,,,,,,12
1 Season,,CHI,NBA,,5,17,,,,,4,4,,,12,4,,,,6,13
1 Season,,INA,ABA,,6,,0,,,,4,7,,,,,,,,,14
