,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,25,BAL,NBA,,4,6,,,,,0,0,,,8,1,,,,3,8
1969-70,26,TOT,NBA,,3,6,,,,,1,2,,,7,3,,,,2,7
1969-70,26,CHI,NBA,,3,6,,,,,1,2,,,7,3,,,,2,7
1972-73,29,CAR,ABA,,7,,0,,,,4,5,,,,,,,,,16
1973-74,30,CAR,ABA,,7,,1,,,,3,3,,,,,,,,,17
1974-75,31,NYA,ABA,,2,,0,,,,1,1,,,,,,,,,5
Career,,,TOT,,7,,,,,,4,5,,,,,,,,,17
,,,NBA,,4,6,,,,,1,2,,,8,3,,,,3,8
,,,ABA,,7,,1,,,,4,5,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,CAR,ABA,,7,,1,,,,4,5,,,,,,,,,17
1 Season,,BAL,NBA,,4,6,,,,,0,0,,,8,1,,,,3,8
1 Season,,NYA,ABA,,2,,0,,,,1,1,,,,,,,,,5
1 Season,,CHI,NBA,,3,6,,,,,1,2,,,7,3,,,,2,7
