Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ed Manning,,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,NA,NA,NA,NA,NA
Ed Nealy,84.5,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,NA,NA,NA,NA
Darius Songaila,84.3,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA,NA,NA,NA
Joe Bryant,83.1,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA,NA,NA,NA,NA
Etan Thomas,82.3,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA,NA,NA,NA
Darrell Arthur,79.6,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA,NA,NA,NA,NA
Brian Skinner,79.0,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0,0,0
Chucky Brown,78.8,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0,NA
Tim Bassett,78.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA,NA,NA,NA,NA,NA
Jon Leuer,78.2,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA,NA,NA,NA
Kyle O'Quinn,77.9,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA,NA,NA,NA
