Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Quincy Pondexter,,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA,NA
Shammond Williams,86.3,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA,NA
Ron Lee,86.1,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA
Bob Wilkerson,84.2,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,NA,NA,NA
Ken Charles,83.9,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA
Gary Neal,83.6,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
Ennis Whatley,83.0,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Butch Carter,82.5,3,2.6,1.3,0.9,0.9,-0.2,NA,NA,NA,NA
Shannon Brown,82.4,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5,NA
Jerian Grant,81.2,3.3,2.5,1.7,0.8,NA,NA,NA,NA,NA,NA
Sam Vincent,81.2,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
