Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Walter Bond,,1,0.4,-0.8,NA
Jack Garfinkel,38.5,1.1,0.3,-0.5,NA
Eddie Hughes,28.1,1,0.4,0,NA
Buddy O'Grady,25.9,1.4,0.7,-0.5,NA
Sundiata Gaines,24.5,1,0.5,-0.1,NA
Nate Hawthorne,22.0,1.1,0.5,0.1,NA
Stan Pietkiewicz,20.2,1,0.6,0,NA
Tate George,15.4,1.1,0.4,0,-0.1
Bryan Warrick,15.3,1,0.5,0.1,0
Phil Rollins,13.6,1.1,0.7,0.1,NA
Kyle Weaver,11.7,1.2,0.3,0,NA
