Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1977-78,23,PHO,NBA,C,64,NA,887,5.4,11.6,0.466,2.4,5,0.476,4.1,8.1,12.1,6.3,1.1,1.7,4.1,5.1,13.2,NA,94,97
1978-79,24,PHO,NBA,C,75,NA,1243,4.2,9.7,0.434,2.2,4.1,0.539,3.9,7.3,11.2,5.9,1,1.3,3.8,5.4,10.6,NA,94,103
Career,NA,,NBA,,139,NA,2130,4.7,10.5,0.449,2.3,4.5,0.509,4,7.6,11.6,6.1,1.1,1.5,3.9,5.3,11.7,NA,94,100
