Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Scheffler,,0.7,0.6,0.6,0.4,0.4,0.3,0,NA,NA,NA
Eric Riley,82.2,0.7,0.6,0.5,0.4,0.3,NA,NA,NA,NA,NA
Didier Ilunga-Mbenga,79.8,0.6,0.5,0.5,0.4,0.3,0.1,0,NA,NA,NA
Greg Dreiling,70.9,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1
Todd Fuller,67.5,0.7,0.7,0.6,0.2,0,NA,NA,NA,NA,NA
Eric Fernsten,55.6,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Mark McNamara,51.9,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Roger Brown,51.3,0.9,0.7,0.4,0.2,0.1,NA,NA,NA,NA,NA
Mamadou N'Diaye,49.0,0.8,0.6,0.3,0.2,0,NA,NA,NA,NA,NA
Stuart Gray,48.3,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
Dave Newmark,47.9,0.8,0.7,0.4,NA,NA,NA,NA,NA,NA,NA
