Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Scott Hastings,,2.1,1.5,1.3,1.3,1,0.8,0.5,0.4,0.3,0.3,0.1
Pete Chilcutt,84.3,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3,NA,NA
Marc Iavaroni,78.3,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
Brian Scalabrine,76.8,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Quincy Acy,74.9,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA,NA,NA
Jeff Grayer,73.2,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1,NA,NA
Wesley Johnson,71.1,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0,NA,NA
Jeff Turner,70.0,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.1,-0.2,-0.2,NA
Jeremy Evans,68.6,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA,NA,NA
Luke Babbitt,68.5,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,NA,NA,NA
Ryan Bowen,68.3,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA
