Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Jarnell Stokes,,0.5,0.1,0.1
Larry Spriggs,87.1,0.5,0.1,0
Josh Huestis,78.0,0.5,0.2,0
Pape Sow,77.2,0.6,0.2,0.1
Anthony Frederick,74.2,0.5,0.2,0
Ken Durrett,74.0,0.5,0,0
Ron Grandison,71.3,0.6,0,0
Adrian Caldwell,68.7,0.4,0.1,0
Gene James,68.1,0.5,0.3,0.1
Joe Courtney,67.8,0.4,0.1,0
Mike Harris,65.3,0.5,0,-0.1
