Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Charles Smith,,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Sidney Wicks,91.0,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
Tristan Thompson,88.8,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Jamal Mashburn,88.6,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Chris Mills,87.4,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
Kenneth Faried,85.2,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Wil Jones,84.9,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Tobias Harris,84.5,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Frank Ramsey,84.3,10,7.3,6.5,5.9,5.3,4,3.6,3.3,3.2,NA,NA
Jim McMillian,84.1,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA
Cincinnatus Powell,83.6,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
