Thru 17 Years,Thru 17 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Horace Grant,,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2,0.2
Detlef Schrempf,91.8,12.9,10.4,10.4,9.8,9,8.4,8.2,8.1,8,5.8,5.2,4.4,4,3.6,0.8,0.5,NA
Elvin Hayes,90.6,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1,2.4,0.2,NA
Rasheed Wallace,89.2,11,9.7,9.3,8.9,8.5,7.6,7.6,7.1,6.4,6.2,6.2,5.1,5,3.6,2.3,0.6,NA
Buck Williams,88.9,11.4,9.2,8.9,8.7,8.5,7.9,7.9,7.7,7.6,7.3,6.8,6.1,6.1,5.2,4.8,3.9,2.1
LaMarcus Aldridge,87.8,11.1,10.9,10.1,9.5,9.3,8.8,8.6,7.5,7.2,7.2,7,6.2,3.4,NA,NA,NA,NA
Otis Thorpe,87.6,10.4,9.8,9,8.9,8.7,8.5,8.1,7.9,7.6,6,5.6,4,3.8,3.7,2.5,1.1,1
John Havlicek,87.1,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3,NA
Alex English,86.9,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7,6.8,5.3,5.1,4,1.2,0.6,NA,NA
Chris Bosh,85.9,10.3,10.1,9.8,9.7,9.6,9.6,9,8,6.9,6.8,6.4,6.2,3.6,NA,NA,NA,NA
Carmelo Anthony,85.4,10.7,9.5,9.4,8.2,7.9,7.9,7.3,6.4,6.2,6.1,5,4.9,4.7,3.7,2.9,0.3,NA
