,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,23,MIA,NBA,PF,13,199,.394,7.6,1.000,.545,.030,.212,.212,.000,.394,.389,.000,.571,.286,,.692,.091,3,,,,0,0
2004-05,24,MIA,NBA,PF,15,543,.491,7.6,1.000,.509,.047,.179,.264,.000,.491,.556,.600,.421,.393,,.846,.113,11,,,,0,0
2005-06,25,MIA,NBA,PF,22,650,.493,10.4,.993,.293,.133,.267,.300,.007,.497,.705,.300,.475,.400,.000,.703,.073,11,,.000,,1,0
2006-07,26,MIA,NBA,PF,4,103,.480,9.8,1.000,.320,.120,.320,.240,.000,.480,.875,.333,.250,.333,,.917,.160,3,,,,0,0
2008-09,28,MIA,NBA,PF,7,204,.543,11.6,1.000,.261,.065,.261,.413,.000,.543,.750,.667,.500,.421,,.880,.109,5,,,,0,0
2009-10,29,MIA,NBA,PF,5,142,.351,10.8,1.000,.243,.189,.216,.351,.000,.351,.444,.286,.125,.462,,.846,.081,2,,,,0,0
2010-11,30,MIA,NBA,PF,12,290,.397,10.4,1.000,.294,.132,.279,.294,.000,.397,.700,.222,.316,.250,,.926,.088,5,,,,0,0
2011-12,31,MIA,NBA,PF,22,452,.455,10.2,1.000,.284,.114,.386,.216,.000,.455,.560,.600,.353,.421,,.775,.102,7,,,,0,0
2012-13,32,MIA,NBA,PF,22,357,.593,9.6,1.000,.442,.035,.140,.384,.000,.593,.711,.667,.417,.515,,.863,.105,9,,,,0,0
2013-14,33,MIA,NBA,PF,16,169,.459,9.8,1.000,.459,.027,.027,.486,.000,.459,.647,.000,.000,.333,,.765,.081,2,,,,0,0
2015-16,35,MIA,NBA,PF,9,85,.533,6.3,1.000,.667,.000,.200,.133,.000,.533,.700,,.000,.500,,.625,.133,1,,,,0,0
Career,,,NBA,,147,3194,.480,9.7,.999,.369,.090,.236,.304,.001,.481,.631,.387,.387,.400,.000,.804,.097,59,,.000,,1,0
