Season,Team,Lg,Salary
2003-04,Miami Heat,NBA,"$366,931"
2004-05,Miami Heat,NBA,"$620,046"
2005-06,Miami Heat,NBA,"$5,000,000"
2006-07,Miami Heat,NBA,"$5,525,000"
2007-08,Miami Heat,NBA,"$6,050,000"
2008-09,Miami Heat,NBA,"$6,575,000"
2009-10,Miami Heat,NBA,"$7,100,000"
2010-11,Miami Heat,NBA,"$3,500,000"
2011-12,Miami Heat,NBA,"$3,780,000"
2012-13,Miami Heat,NBA,"$4,060,000"
2013-14,Miami Heat,NBA,"$4,340,000"
2014-15,Miami Heat,NBA,"$2,732,000"
2015-16,Miami Heat,NBA,"$2,854,940"
2016-17,Miami Heat,NBA,"$4,000,000"
2017-18,Miami Heat,NBA,"$1,471,382"
2018-19,Miami Heat,NBA,"$2,393,887"
Career,(may be incomplete),,"$60,369,186"
