,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2003-04,23,MIA,NBA,PF,13,199,,,8%,92%,,-4.5,-6.8,1,0,11,2,14,0,7,1,4
2004-05,24,MIA,NBA,PF,15,543,,,,99%,1%,+7.6,+11.8,6,3,21,6,17,0,32,6,14
2005-06,25,MIA,NBA,PF,22,650,,,,92%,8%,-0.2,-11.3,8,10,33,6,26,7,36,6,6
2006-07,26,MIA,NBA,PF,4,103,,,,93%,7%,-18.0,-13.8,2,0,7,0,3,2,8,0,3
2008-09,28,MIA,NBA,PF,7,204,,,5%,95%,,+3.4,+5.6,1,1,7,4,5,3,8,0,1
2009-10,29,MIA,NBA,PF,5,142,,,,97%,3%,-12.1,-8.9,2,2,11,1,2,2,11,0,3
2010-11,30,MIA,NBA,PF,12,290,,,,99%,2%,+3.7,+0.9,2,6,16,2,6,6,22,2,6
2011-12,31,MIA,NBA,PF,22,452,,,,51%,49%,+6.8,-2.2,7,5,24,6,13,1,31,1,4
2012-13,32,MIA,NBA,PF,22,357,,,87%,12%,1%,+3.1,-6.1,4,1,17,7,7,1,12,2,3
2013-14,33,MIA,NBA,PF,16,169,,,56%,30%,14%,-21.6,-29.4,0,0,15,1,3,1,9,0,5
2015-16,35,MIA,NBA,PF,9,85,,,,67%,33%,-10.0,-16.6,0,5,3,2,3,0,9,1,1
Career,,,NBA,,147,3194,,,13%,76%,11%,+0.3,-4.1,33,33,165,37,99,23,185,19,50
