Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Charlie Bell,,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA,NA,NA,NA
Andre Roberson,91.7,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Elfrid Payton,88.0,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA,NA,NA
Al Skinner,87.5,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA,NA,NA
Devin Brown,85.7,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,NA,NA,NA,NA
Jaren Jackson,83.6,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Tony Snell,83.2,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA,NA,NA,NA
Whitey Skoog,83.0,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Greivis Vásquez,82.2,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA,NA,NA,NA
Sonny Hertzberg,80.6,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Joe Hamilton,80.5,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
