Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Charlie Bell,,4,3.3,2.2,2,1.3,-0.1,-0.2
Andre Roberson,91.7,4.2,3.4,2.2,2.1,0.8,NA,NA
Devin Brown,88.9,3.7,3.5,2.4,1.7,1.4,0.1,-0.1
Elfrid Payton,88.0,4.4,2.8,2.3,2.2,1.5,NA,NA
Al Skinner,87.5,4.9,3.3,2.1,1.8,1.2,0,NA
Chris Whitney,85.5,4,3.2,2.7,1.3,1,-0.2,-0.3
Jim King,85.4,3.7,3.5,2.3,1.5,1.1,0.4,-0.1
Trenton Hassell,85.3,4,2.7,2.6,2.3,1.5,0.2,-0.1
Frank Johnson,83.9,4.3,3,2.1,1.9,1.6,0.5,0.5
Bob Harrison,83.4,3.5,3.3,2.9,2.2,0.9,0,-0.4
Fred Carter,83.3,4.7,3.3,2.3,1.8,1.3,1.3,-0.3
